"Temperature_(K)" "Pressure_(MPa)" "Vap._Density_(mol/m3)" "Liq._Density_(mol/m3)"
231.2 0.0012116 0.63103 11455
231.3 0.0012203 0.63527 11454
231.4 0.001229 0.63954 11453
231.5 0.0012377 0.64382 11451
231.6 0.0012466 0.64813 11450
231.7 0.0012554 0.65247 11449
231.8 0.0012644 0.65683 11448
231.9 0.0012733 0.66121 11446
232 0.0012824 0.66562 11445
232.1 0.0012915 0.67006 11444
232.2 0.0013006 0.67452 11442
232.3 0.0013098 0.679 11441
232.4 0.0013191 0.68351 11440
232.5 0.0013284 0.68804 11438
232.6 0.0013377 0.6926 11437
232.7 0.0013472 0.69719 11436
232.8 0.0013567 0.7018 11435
232.9 0.0013662 0.70643 11433
233 0.0013758 0.7111 11432
233.1 0.0013854 0.71579 11431
233.2 0.0013952 0.7205 11429
233.3 0.0014049 0.72524 11428
233.4 0.0014148 0.73001 11427
233.5 0.0014246 0.7348 11426
233.6 0.0014346 0.73962 11424
233.7 0.0014446 0.74447 11423
233.8 0.0014547 0.74934 11422
233.9 0.0014648 0.75424 11420
234 0.001475 0.75917 11419
234.1 0.0014852 0.76412 11418
234.2 0.0014955 0.7691 11417
234.3 0.0015059 0.77411 11415
234.4 0.0015163 0.77915 11414
234.5 0.0015268 0.78421 11413
234.6 0.0015374 0.7893 11411
234.7 0.001548 0.79442 11410
234.8 0.0015587 0.79957 11409
234.9 0.0015694 0.80474 11407
235 0.0015802 0.80994 11406
235.1 0.0015911 0.81518 11405
235.2 0.001602 0.82044 11404
235.3 0.001613 0.82572 11402
235.4 0.0016241 0.83104 11401
235.5 0.0016352 0.83639 11400
235.6 0.0016464 0.84176 11398
235.7 0.0016577 0.84717 11397
235.8 0.001669 0.8526 11396
235.9 0.0016804 0.85806 11395
236 0.0016919 0.86355 11393
236.1 0.0017034 0.86907 11392
236.2 0.001715 0.87462 11391
236.3 0.0017266 0.8802 11389
236.4 0.0017384 0.88581 11388
236.5 0.0017502 0.89146 11387
236.6 0.001762 0.89713 11385
236.7 0.0017739 0.90283 11384
236.8 0.0017859 0.90856 11383
236.9 0.001798 0.91432 11382
237 0.0018102 0.92011 11380
237.1 0.0018224 0.92594 11379
237.2 0.0018346 0.93179 11378
237.3 0.001847 0.93768 11376
237.4 0.0018594 0.94359 11375
237.5 0.0018719 0.94954 11374
237.6 0.0018845 0.95552 11373
237.7 0.0018971 0.96153 11371
237.8 0.0019098 0.96757 11370
237.9 0.0019226 0.97365 11369
238 0.0019354 0.97975 11367
238.1 0.0019484 0.98589 11366
238.2 0.0019614 0.99206 11365
238.3 0.0019744 0.99826 11363
238.4 0.0019876 1.0045 11362
238.5 0.0020008 1.0108 11361
238.6 0.0020141 1.0171 11360
238.7 0.0020275 1.0234 11358
238.8 0.0020409 1.0298 11357
238.9 0.0020545 1.0362 11356
239 0.0020681 1.0426 11354
239.1 0.0020817 1.0491 11353
239.2 0.0020955 1.0556 11352
239.3 0.0021093 1.0621 11350
239.4 0.0021232 1.0687 11349
239.5 0.0021372 1.0753 11348
239.6 0.0021513 1.0819 11347
239.7 0.0021654 1.0886 11345
239.8 0.0021797 1.0953 11344
239.9 0.002194 1.102 11343
240 0.0022083 1.1088 11341
240.1 0.0022228 1.1156 11340
240.2 0.0022374 1.1224 11339
240.3 0.002252 1.1293 11337
240.4 0.0022667 1.1362 11336
240.5 0.0022815 1.1432 11335
240.6 0.0022963 1.1502 11334
240.7 0.0023113 1.1572 11332
240.8 0.0023263 1.1642 11331
240.9 0.0023415 1.1713 11330
241 0.0023567 1.1785 11328
241.1 0.0023719 1.1856 11327
241.2 0.0023873 1.1928 11326
241.3 0.0024028 1.2001 11324
241.4 0.0024183 1.2073 11323
241.5 0.0024339 1.2147 11322
241.6 0.0024496 1.222 11321
241.7 0.0024654 1.2294 11319
241.8 0.0024813 1.2368 11318
241.9 0.0024973 1.2443 11317
242 0.0025134 1.2518 11315
242.1 0.0025295 1.2593 11314
242.2 0.0025457 1.2669 11313
242.3 0.0025621 1.2745 11311
242.4 0.0025785 1.2821 11310
242.5 0.002595 1.2898 11309
242.6 0.0026116 1.2975 11308
242.7 0.0026282 1.3053 11306
242.8 0.002645 1.3131 11305
242.9 0.0026619 1.321 11304
243 0.0026788 1.3288 11302
243.1 0.0026959 1.3368 11301
243.2 0.002713 1.3447 11300
243.3 0.0027302 1.3527 11298
243.4 0.0027476 1.3607 11297
243.5 0.002765 1.3688 11296
243.6 0.0027825 1.3769 11294
243.7 0.0028001 1.3851 11293
243.8 0.0028178 1.3933 11292
243.9 0.0028356 1.4015 11291
