"Temperature_(K)" "Pressure_(MPa)" "Vap._Density_(mol/m3)" "Liq._Density_(mol/m3)"
144.5 0.00014388 0.11979 15263
144.6 0.00014574 0.12125 15261
144.7 0.00014762 0.12273 15258
144.8 0.00014953 0.12423 15256
144.9 0.00015145 0.12574 15254
145 0.0001534 0.12727 15252
145.1 0.00015537 0.12881 15249
145.2 0.00015736 0.13037 15247
145.3 0.00015937 0.13195 15245
145.4 0.0001614 0.13354 15242
145.5 0.00016346 0.13515 15240
145.6 0.00016554 0.13678 15238
145.7 0.00016765 0.13843 15235
145.8 0.00016977 0.14009 15233
145.9 0.00017193 0.14176 15231
146 0.0001741 0.14346 15229
146.1 0.0001763 0.14517 15226
146.2 0.00017852 0.1469 15224
146.3 0.00018077 0.14865 15222
146.4 0.00018304 0.15042 15219
146.5 0.00018534 0.1522 15217
146.6 0.00018767 0.15401 15215
146.7 0.00019001 0.15583 15213
146.8 0.00019239 0.15767 15210
146.9 0.00019479 0.15953 15208
147 0.00019722 0.16141 15206
147.1 0.00019967 0.1633 15203
147.2 0.00020215 0.16522 15201
147.3 0.00020465 0.16715 15199
147.4 0.00020719 0.16911 15196
147.5 0.00020975 0.17108 15194
147.6 0.00021234 0.17308 15192
147.7 0.00021495 0.17509 15190
147.8 0.0002176 0.17713 15187
147.9 0.00022027 0.17918 15185
148 0.00022297 0.18126 15183
148.1 0.0002257 0.18336 15180
148.2 0.00022846 0.18547 15178
148.3 0.00023125 0.18761 15176
148.4 0.00023407 0.18977 15173
148.5 0.00023692 0.19195 15171
148.6 0.0002398 0.19416 15169
148.7 0.00024271 0.19638 15167
148.8 0.00024565 0.19863 15164
148.9 0.00024862 0.2009 15162
149 0.00025163 0.20319 15160
149.1 0.00025466 0.2055 15157
149.2 0.00025773 0.20784 15155
149.3 0.00026083 0.2102 15153
149.4 0.00026396 0.21258 15150
149.5 0.00026712 0.21498 15148
149.6 0.00027032 0.21741 15146
149.7 0.00027355 0.21986 15144
149.8 0.00027682 0.22234 15141
149.9 0.00028011 0.22484 15139
150 0.00028345 0.22736 15137
150.1 0.00028681 0.22991 15134
150.2 0.00029022 0.23248 15132
150.3 0.00029365 0.23508 15130
150.4 0.00029712 0.23771 15127
150.5 0.00030063 0.24035 15125
150.6 0.00030418 0.24303 15123
150.7 0.00030776 0.24572 15120
150.8 0.00031137 0.24845 15118
150.9 0.00031503 0.2512 15116
151 0.00031872 0.25398 15114
151.1 0.00032245 0.25678 15111
151.2 0.00032622 0.25961 15109
151.3 0.00033002 0.26246 15107
151.4 0.00033387 0.26535 15104
151.5 0.00033775 0.26826 15102
151.6 0.00034167 0.27119 15100
151.7 0.00034563 0.27416 15097
151.8 0.00034963 0.27715 15095
151.9 0.00035368 0.28017 15093
152 0.00035776 0.28322 15091
152.1 0.00036188 0.2863 15088
152.2 0.00036605 0.2894 15086
152.3 0.00037025 0.29254 15084
152.4 0.0003745 0.2957 15081
152.5 0.00037879 0.2989 15079
152.6 0.00038313 0.30212 15077
152.7 0.0003875 0.30537 15074
152.8 0.00039192 0.30865 15072
152.9 0.00039639 0.31197 15070
153 0.00040089 0.31531 15067
153.1 0.00040544 0.31868 15065
153.2 0.00041004 0.32209 15063
153.3 0.00041468 0.32552 15061
153.4 0.00041937 0.32899 15058
153.5 0.00042411 0.33249 15056
153.6 0.00042888 0.33602 15054
153.7 0.00043371 0.33958 15051
153.8 0.00043859 0.34317 15049
153.9 0.00044351 0.3468 15047
154 0.00044848 0.35046 15044
154.1 0.00045349 0.35415 15042
154.2 0.00045856 0.35788 15040
154.3 0.00046367 0.36164 15037
154.4 0.00046884 0.36543 15035
154.5 0.00047405 0.36926 15033
154.6 0.00047932 0.37312 15031
154.7 0.00048463 0.37701 15028
154.8 0.00049 0.38094 15026
154.9 0.00049541 0.38491 15024
155 0.00050088 0.38891 15021
155.1 0.0005064 0.39295 15019
155.2 0.00051198 0.39702 15017
155.3 0.00051761 0.40112 15014
155.4 0.00052329 0.40527 15012
