#T = 293.15 K
#pressure (bar)	loading(mmol/g)
41.2912915	5.680750448
41.3413415	5.680851940
41.3913916	5.680953194
41.4414416	5.681054210
41.4914917	5.681154989
41.5415417	5.681255532
41.5915918	5.681355839
41.6416418	5.681455913
41.6916919	5.681555753
41.7417419	5.681655360
41.7917920	5.681754735
41.8418420	5.681853878
41.8918921	5.681952792
41.9419421	5.682051476
41.9919922	5.682149931
42.0420422	5.682248158
42.0920923	5.682346158
42.1421423	5.682443932
42.1921923	5.682541480
42.2422424	5.682638803
42.2922924	5.682735903
42.3423425	5.682832779
42.3923925	5.682929432
42.4424426	5.683025864
42.4924926	5.683122075
42.5425427	5.683218065
42.5925927	5.683313836
42.6426428	5.683409389
42.6926928	5.683504723
42.7427429	5.683599841
42.7927929	5.683694741
42.8428430	5.683789426
42.8928930	5.683883896
42.9429431	5.683978152
42.9929931	5.684072194
43.0430432	5.684166024
43.0930932	5.684259641
43.1431433	5.684353047
43.1931933	5.684446242
43.2432434	5.684539228
43.2932934	5.684632004
43.3433435	5.684724572
43.3933935	5.684816931
43.4434436	5.684909084
43.4934936	5.685001030
43.5435437	5.685092771
43.5935937	5.685184306
43.6436438	5.685275637
43.6936938	5.685366764
43.7437439	5.685457689
43.7937939	5.685548411
43.8438440	5.685638931
43.8938940	5.685729251
43.9439441	5.685819370
43.9939941	5.685909289
44.0440442	5.685999010
44.0940942	5.686088532
44.1441443	5.686177856
44.1941943	5.686266984
44.2442444	5.686355915
44.2942944	5.686444650
44.3443445	5.686533191
44.3943945	5.686621537
44.4444446	5.686709689
44.4944946	5.686797648
44.5445447	5.686885414
44.5945947	5.686972989
44.6446448	5.687060372
44.6946948	5.687147565
44.7447448	5.687234568
44.7947949	5.687321381
44.8448449	5.687408006
44.8948950	5.687494442
44.9449450	5.687580691
44.9949951	5.687666753
45.0450451	5.687752629
45.0950952	5.687838319
45.1451452	5.687923824
45.1951953	5.688009144
45.2452453	5.688094280
45.2952954	5.688179233
45.3453454	5.688264004
45.3953955	5.688348592
45.4454455	5.688432998
45.4954956	5.688517224
45.5455456	5.688601269
45.5955957	5.688685135
45.6456457	5.688768821
45.6956958	5.688852329
45.7457458	5.688935658
45.7957959	5.689018810
45.8458459	5.689101785
45.8958960	5.689184584
45.9459460	5.689267206
45.9959961	5.689349654
46.0460461	5.689431927
46.0960962	5.689514025
46.1461462	5.689595950
46.1961963	5.689677702
46.2462463	5.689759282
46.2962964	5.689840689
46.3463464	5.689921925
46.3963965	5.690002991
46.4464465	5.690083885
46.4964966	5.690164611
46.5465466	5.690245166
46.5965967	5.690325553
46.6466467	5.690405772
46.6966968	5.690485823
46.7467468	5.690565707
46.7967969	5.690645425
46.8468469	5.690724976
46.8968970	5.690804362
46.9469470	5.690883582
46.9969971	5.690962638
47.0470471	5.691041530
47.0970972	5.691120259
