"Temperature_(K)" "Pressure_(MPa)" "Vap._Density_(mol/m3)" "Liq._Density_(mol/m3)"
204.1 0.03825 23.058 24217
204.2 0.038486 23.191 24212
204.3 0.038723 23.325 24207
204.4 0.038961 23.459 24202
204.5 0.0392 23.594 24197
204.6 0.039441 23.729 24191
204.7 0.039683 23.865 24186
204.8 0.039926 24.002 24181
204.9 0.04017 24.139 24176
205 0.040416 24.277 24171
205.1 0.040662 24.416 24166
205.2 0.04091 24.555 24161
205.3 0.04116 24.695 24156
205.4 0.04141 24.835 24151
205.5 0.041662 24.976 24146
205.6 0.041914 25.118 24141
205.7 0.042169 25.261 24136
205.8 0.042424 25.404 24130
205.9 0.042681 25.547 24125
206 0.042939 25.692 24120
206.1 0.043198 25.837 24115
206.2 0.043458 25.983 24110
206.3 0.04372 26.129 24105
206.4 0.043983 26.276 24100
206.5 0.044247 26.424 24095
206.6 0.044513 26.572 24090
206.7 0.04478 26.721 24085
206.8 0.045048 26.871 24079
206.9 0.045317 27.021 24074
207 0.045588 27.172 24069
207.1 0.04586 27.324 24064
207.2 0.046134 27.476 24059
207.3 0.046408 27.629 24054
207.4 0.046685 27.783 24049
207.5 0.046962 27.937 24044
207.6 0.047241 28.093 24039
207.7 0.047521 28.248 24034
207.8 0.047802 28.405 24028
207.9 0.048085 28.562 24023
208 0.048369 28.72 24018
208.1 0.048655 28.879 24013
208.2 0.048942 29.038 24008
208.3 0.04923 29.198 24003
208.4 0.049519 29.359 23998
208.5 0.04981 29.52 23993
208.6 0.050103 29.682 23987
208.7 0.050397 29.845 23982
208.8 0.050692 30.008 23977
208.9 0.050988 30.173 23972
209 0.051286 30.338 23967
209.1 0.051586 30.503 23962
209.2 0.051886 30.67 23957
209.3 0.052189 30.837 23952
209.4 0.052492 31.005 23946
209.5 0.052797 31.173 23941
209.6 0.053104 31.343 23936
209.7 0.053412 31.513 23931
209.8 0.053721 31.684 23926
209.9 0.054032 31.855 23921
210 0.054344 32.028 23916
210.1 0.054658 32.201 23910
210.2 0.054973 32.374 23905
210.3 0.05529 32.549 23900
210.4 0.055608 32.724 23895
210.5 0.055928 32.9 23890
210.6 0.056249 33.077 23885
210.7 0.056572 33.255 23880
210.8 0.056896 33.433 23874
210.9 0.057221 33.612 23869
211 0.057548 33.792 23864
211.1 0.057877 33.973 23859
211.2 0.058207 34.154 23854
211.3 0.058539 34.336 23849
211.4 0.058872 34.519 23843
211.5 0.059207 34.703 23838
211.6 0.059543 34.887 23833
211.7 0.059881 35.073 23828
211.8 0.06022 35.259 23823
211.9 0.060561 35.446 23818
212 0.060903 35.633 23812
212.1 0.061247 35.822 23807
212.2 0.061593 36.011 23802
212.3 0.06194 36.201 23797
212.4 0.062289 36.392 23792
212.5 0.062639 36.583 23787
212.6 0.062991 36.776 23781
212.7 0.063345 36.969 23776
212.8 0.0637 37.163 23771
212.9 0.064056 37.358 23766
213 0.064415 37.554 23761
213.1 0.064774 37.75 23755
213.2 0.065136 37.948 23750
213.3 0.065499 38.146 23745
213.4 0.065864 38.345 23740
213.5 0.06623 38.544 23735
213.6 0.066598 38.745 23730
213.7 0.066968 38.947 23724
213.8 0.067339 39.149 23719
213.9 0.067712 39.352 23714
214 0.068087 39.556 23709
214.1 0.068464 39.761 23704
214.2 0.068842 39.966 23698
214.3 0.069221 40.173 23693
214.4 0.069603 40.38 23688
214.5 0.069986 40.588 23683
214.6 0.07037 40.798 23678
214.7 0.070757 41.007 23672
214.8 0.071145 41.218 23667
214.9 0.071535 41.43 23662
215 0.071927 41.642 23657
215.1 0.07232 41.856 23651
215.2 0.072715 42.07 23646
215.3 0.073112 42.285 23641
215.4 0.07351 42.501 23636
215.5 0.07391 42.718 23631
215.6 0.074312 42.936 23625
215.7 0.074716 43.154 23620
215.8 0.075122 43.374 23615
215.9 0.075529 43.594 23610
216 0.075938 43.816 23605
216.1 0.076349 44.038 23599
216.2 0.076762 44.261 23594
216.3 0.077176 44.485 23589
216.4 0.077592 44.71 23584
216.5 0.07801 44.935 23578
216.6 0.07843 45.162 23573
216.7 0.078852 45.39 23568
216.8 0.079275 45.618 23563
216.9 0.0797 45.848 23557
